PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,,,,,,,,,,,,,,,,,,,,,
1,9.8248E+04,0.0000E+00,9.2971E+04,5.2766E+03,0.0000E+00,0.0000E+00,3.7279E+04,1.8793E+04,3.6899E+04,3.6029E+03,5.6472E+02,1.1090E+03,,,,,,,,,,,,,,,,,,,,,
1.5,3.3549E+04,0.0000E+00,3.1569E+04,1.9800E+03,0.0000E+00,0.0000E+00,1.5773E+04,5.3413E+03,1.0455E+04,1.4919E+03,1.6506E+02,3.2306E+02,,,,,,,,,,,,,,,,,,,,,
2,1.5410E+04,0.0000E+00,1.4442E+04,9.6771E+02,0.0000E+00,0.0000E+00,8.2237E+03,2.1061E+03,4.1122E+03,7.7202E+02,6.6286E+01,1.2941E+02,,,,,,,,,,,,,,,,,,,,,
2.1283,1.3003E+04,0.0000E+00,1.2176E+04,8.2717E+02,0.0000E+00,0.0000E+00,7.1137E+03,1.7151E+03,3.3469E+03,6.6715E+02,5.4222E+01,1.0580E+02,,,,,,,,,,,,,,,,,,,,,
2.1453,1.2709E+05,1.1437E+05,1.1912E+04,8.1066E+02,0.0000E+00,1.1437E+05,6.9818E+03,1.6704E+03,3.2594E+03,6.5473E+02,5.2837E+01,1.0309E+02,,,,,,,,,,,,,,,,,,,,,
3,5.7409E+04,5.2372E+04,4.6946E+03,3.4227E+02,0.0000E+00,5.2372E+04,3.1088E+03,5.3849E+02,1.0472E+03,2.9116E+02,1.7361E+01,3.3752E+01,,,,,,,,,,,,,,,,,,,,,
4,2.6884E+04,2.4639E+04,2.0848E+03,1.5982E+02,0.0000E+00,2.4639E+04,1.5033E+03,1.9789E+02,3.8361E+02,1.4089E+02,6.4523E+00,1.2477E+01,,,,,,,,,,,,,,,,,,,,,
5,1.4645E+04,1.3455E+04,1.1023E+03,8.7379E+01,0.0000E+00,1.3455E+04,8.3977E+02,8.9494E+01,1.7300E+02,7.8775E+01,2.9388E+00,5.6660E+00,,,,,,,,,,,,,,,,,,,,,
6,8.8185E+03,8.1140E+03,6.5159E+02,5.2923E+01,0.0000E+00,8.1140E+03,5.1599E+02,4.6309E+01,8.9293E+01,4.8456E+01,1.5283E+00,2.9393E+00,,,,,,,,,,,,,,,,,,,,,
8,3.8920E+03,3.5868E+03,2.8164E+02,2.3610E+01,0.0000E+00,3.5868E+03,2.3469E+02,1.6080E+01,3.0867E+01,2.2053E+01,5.3424E-01,1.0227E+00,,,,,,,,,,,,,,,,,,,,,
10,2.0364E+03,1.8782E+03,1.4574E+02,1.2478E+01,0.0000E+00,1.8782E+03,1.2543E+02,6.9758E+00,1.3336E+01,1.1801E+01,2.3274E-01,4.4371E-01,,,,,,,,,,,,,,,,,,,,,
15,6.1121E+02,5.6419E+02,4.3200E+01,3.8121E+00,0.0000E+00,5.6419E+02,3.8905E+01,1.4842E+00,2.8110E+00,3.6682E+00,4.9822E-02,9.4099E-02,,,,,,,,,,,,,,,,,,,,,
20,2.5550E+02,2.3592E+02,1.7963E+01,1.6110E+00,0.0000E+00,2.3592E+02,1.6566E+01,4.8532E-01,9.1186E-01,1.5640E+00,1.6348E-02,3.0627E-02,,,,,,,,,,,,,,,,,,,,,
30,7.3099E+01,6.7515E+01,5.1170E+00,4.6676E-01,0.0000E+00,6.7515E+01,4.8355E+00,9.8692E-02,1.8285E-01,4.5726E-01,3.3373E-03,6.1639E-03,,,,,,,,,,,,,,,,,,,,,
40,2.9686E+01,2.7420E+01,2.0748E+00,1.9092E-01,0.0000E+00,2.7420E+01,1.9850E+00,3.1719E-02,5.8038E-02,1.8789E-01,1.0750E-03,1.9603E-03,,,,,,,,,,,,,,,,,,,,,
50,1.4664E+01,1.3545E+01,1.0242E+00,9.4763E-02,0.0000E+00,1.3545E+01,9.8728E-01,1.3157E-02,2.3810E-02,9.3511E-02,4.4662E-04,8.0511E-04,,,,,,,,,,,,,,,,,,,,,
60,8.2131E+00,7.5862E+00,5.7356E-01,5.3262E-02,0.0000E+00,7.5862E+00,5.5563E-01,6.4209E-03,1.1508E-02,5.2654E-02,2.1830E-04,3.8936E-04,,,,,,,,,,,,,,,,,,,,,
80,3.2761E+00,3.0260E+00,2.2877E-01,2.1345E-02,0.0000E+00,3.0260E+00,2.2301E-01,2.0947E-03,3.6686E-03,2.1149E-02,7.1014E-05,1.2438E-04,,,,,,,,,,,,,,,,,,,,,
100,1.6031E+00,1.4806E+00,1.1201E-01,1.0475E-02,0.0000E+00,1.4806E+00,1.0960E-01,8.8475E-04,1.5240E-03,1.0394E-02,2.9990E-05,5.1709E-05,,,,,,,,,,,,,,,,,,,,,
150,4.3891E-01,4.0534E-01,3.0689E-02,2.8802E-03,0.0000E+00,4.0534E-01,3.0179E-02,1.9088E-04,3.1903E-04,2.8629E-03,6.4688E-06,1.0832E-05,,,,,,,,,,,,,,,,,,,,,
200,1.7706E-01,1.6351E-01,1.2386E-02,1.1645E-03,0.0000E+00,1.6351E-01,1.2210E-02,6.6688E-05,1.0939E-04,1.1585E-03,2.2590E-06,3.7146E-06,,,,,,,,,,,,,,,,,,,,,
300,5.1133E-02,4.7217E-02,3.5793E-03,3.3702E-04,0.0000E+00,4.7217E-02,3.5367E-03,1.6290E-05,2.6320E-05,3.3558E-04,5.5046E-07,8.9531E-07,,,,,,,,,,,,,,,,,,,,,
400,2.2164E-02,2.0466E-02,1.5521E-03,1.4625E-04,0.0000E+00,2.0466E-02,1.5353E-03,6.3927E-06,1.0384E-05,1.4568E-04,2.1549E-07,3.5421E-07,,,,,,,,,,,,,,,,,,,,,
500,1.2032E-02,1.1109E-02,8.4265E-04,7.9436E-05,0.0000E+00,1.1109E-02,8.3406E-04,3.2233E-06,5.3603E-06,7.9144E-05,1.0861E-07,1.8275E-07,,,,,,,,,,,,,,,,,,,,,
600,7.5228E-03,6.9463E-03,5.2687E-04,4.9685E-05,0.0000E+00,6.9463E-03,5.2172E-04,1.9008E-06,3.2489E-06,4.9510E-05,6.4015E-08,1.1082E-07,,,,,,,,,,,,,,,,,,,,,
800,3.8129E-03,3.5210E-03,2.6674E-04,2.5172E-05,0.0000E+00,3.5210E-03,2.6428E-04,8.8011E-07,1.5822E-06,2.5089E-05,2.9485E-08,5.4381E-08,,,,,,,,,,,,,,,,,,,,,
1000,2.3702E-03,2.1888E-03,1.6576E-04,1.5659E-05,0.0000E+00,2.1888E-03,1.6429E-04,5.0811E-07,9.6636E-07,1.5609E-05,1.6991E-08,3.3363E-08,,,,,,,,,,,,,,,,,,,,,
1500,1.1124E-03,1.0273E-03,7.7748E-05,7.3693E-06,0.0000E+00,1.0273E-03,7.7096E-05,2.1091E-07,4.4052E-07,7.3467E-06,7.0057E-09,1.5581E-08,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,1,2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
