PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,,,,,,,,,,,,,,,,,,
1,4.6634E+05,0.0000E+00,4.1882E+05,4.6448E+04,1.0670E+03,0.0000E+00,8.9688E+04,1.1153E+05,2.1761E+05,1.4094E+04,1.0682E+04,2.0857E+04,3.2891E+02,4.8556E+02,1.0670E+03,,,,,,,,,,,,,,,,,,
1.5,1.6636E+05,0.0000E+00,1.4855E+05,1.7333E+04,4.7515E+02,0.0000E+00,4.3447E+04,3.5766E+04,6.9340E+04,6.3326E+03,3.6796E+03,7.1407E+03,7.2691E+01,1.0711E+02,4.7515E+02,,,,,,,,,,,,,,,,,,
2,7.8151E+04,0.0000E+00,6.9509E+04,8.3809E+03,2.6128E+02,0.0000E+00,2.4675E+04,1.5302E+04,2.9531E+04,3.4949E+03,1.6465E+03,3.1810E+03,2.3678E+01,3.4823E+01,2.6128E+02,,,,,,,,,,,,,,,,,,
3,2.6210E+04,0.0000E+00,2.3196E+04,2.9054E+03,1.0842E+02,0.0000E+00,1.0445E+04,4.3714E+03,8.3798E+03,1.4487E+03,4.9521E+02,9.5036E+02,4.5240E+00,6.6307E+00,1.0842E+02,,,,,,,,,,,,,,,,,,
4,1.1888E+04,0.0000E+00,1.0491E+04,1.3403E+03,5.6076E+01,0.0000E+00,5.4516E+03,1.7335E+03,3.3061E+03,7.5007E+02,2.0177E+02,3.8519E+02,1.3413E+00,1.9509E+00,5.6076E+01,,,,,,,,,,,,,,,,,,
4.9357,6.6269E+03,0.0000E+00,5.8384E+03,7.5447E+02,3.4050E+01,0.0000E+00,3.3249E+03,8.6690E+02,1.6466E+03,4.5567E+02,1.0253E+02,1.9492E+02,5.4638E-01,7.9274E-01,3.4050E+01,,,,,,,,,,,,,,,,,,
4.9752,5.4452E+04,4.7971E+04,5.7094E+03,7.3810E+02,3.3403E+01,4.7971E+04,3.2621E+03,8.4418E+02,1.6032E+03,4.4702E+02,9.9899E+01,1.8989E+02,5.2800E-01,7.6601E-01,3.3403E+01,,,,,,,,,,,,,,,,,,
5,5.4216E+04,4.7825E+04,5.6305E+03,7.2808E+02,3.3005E+01,4.7825E+04,3.2235E+03,8.3032E+02,1.5767E+03,4.4170E+02,9.8293E+01,1.8682E+02,5.1687E-01,7.4982E-01,3.3005E+01,,,,,,,,,,,,,,,,,,
6,3.4243E+04,3.0411E+04,3.3718E+03,4.3978E+02,2.1160E+01,3.0411E+04,2.0714E+03,4.4968E+02,8.5067E+02,2.8325E+02,5.3903E+01,1.0205E+02,2.3559E-01,3.4096E-01,2.1160E+01,,,,,,,,,,,,,,,,,,
8,1.5986E+04,1.4290E+04,1.4891E+03,1.9663E+02,1.0282E+01,1.4290E+04,1.0075E+03,1.6727E+02,3.1434E+02,1.3766E+02,2.0417E+01,3.8392E+01,6.6824E-02,9.6333E-02,1.0282E+01,,,,,,,,,,,,,,,,,,
10,8.7187E+03,7.8241E+03,7.8434E+02,1.0445E+02,5.7745E+00,7.8241E+03,5.6532E+02,7.6358E+01,1.4267E+02,7.7318E+01,9.4337E+00,1.7636E+01,2.4567E-02,3.5283E-02,5.7745E+00,,,,,,,,,,,,,,,,,,
15,2.7964E+03,2.5212E+03,2.4081E+02,3.2456E+01,1.9492E+00,2.5212E+03,1.9025E+02,1.7765E+01,3.2787E+01,2.6097E+01,2.2306E+00,4.1193E+00,3.8441E-03,5.4747E-03,1.9492E+00,,,,,,,,,,,,,,,,,,
20,1.2190E+03,1.1012E+03,1.0291E+02,1.3962E+01,8.7753E-01,1.1012E+03,8.5462E+01,6.1747E+00,1.1278E+01,1.1749E+01,7.8161E-01,1.4291E+00,1.0182E-03,1.4398E-03,8.7753E-01,,,,,,,,,,,,,,,,,,
30,3.6765E+02,3.3270E+02,3.0507E+01,4.1694E+00,2.7517E-01,3.3270E+02,2.6713E+01,1.3576E+00,2.4355E+00,3.6843E+00,1.7367E-01,3.1109E-01,1.5430E-04,2.1539E-04,2.7517E-01,,,,,,,,,,,,,,,,,,
40,1.5436E+02,1.3979E+02,1.2714E+01,1.7428E+00,1.1817E-01,1.3979E+02,1.1449E+01,4.5749E-01,8.0815E-01,1.5801E+00,5.8835E-02,1.0375E-01,4.0227E-05,5.5550E-05,1.1817E-01,,,,,,,,,,,,,,,,,,
50,7.8083E+01,7.0736E+01,6.4065E+00,8.8036E-01,6.0660E-02,7.0736E+01,5.8689E+00,1.9602E-01,3.4154E-01,8.1104E-01,2.5291E-02,4.3996E-02,1.4181E-05,1.9420E-05,6.0660E-02,,,,,,,,,,,,,,,,,,
60,4.4535E+01,4.0353E+01,3.6457E+00,5.0186E-01,3.4960E-02,4.0353E+01,3.3790E+00,9.8034E-02,1.6871E-01,4.6739E-01,1.2680E-02,2.1778E-02,6.0710E-06,8.2372E-06,3.4960E-02,,,,,,,,,,,,,,,,,,
80,1.8243E+01,1.6533E+01,1.4898E+00,2.0556E-01,1.4519E-02,1.6533E+01,1.4013E+00,3.2974E-02,5.5522E-02,1.9409E-01,4.2779E-03,7.1891E-03,1.6086E-06,2.1505E-06,1.4519E-02,,,,,,,,,,,,,,,,,,
100,9.0963E+00,8.2444E+00,7.4206E-01,1.0254E-01,7.3034E-03,8.2444E+00,7.0422E-01,1.4260E-02,2.3576E-02,9.7623E-02,1.8541E-03,3.0578E-03,5.8277E-07,7.7290E-07,7.3034E-03,,,,,,,,,,,,,,,,,,
150,2.5674E+00,2.3271E+00,2.0927E-01,2.8979E-02,2.0871E-03,2.3271E+00,2.0096E-01,3.1975E-03,5.1071E-03,2.7897E-02,4.1727E-04,6.6391E-04,9.7057E-08,1.2637E-07,2.0871E-03,,,,,,,,,,,,,,,,,,
200,1.0551E+00,9.5635E-01,8.6001E-02,1.1922E-02,8.6346E-04,9.5635E-01,8.3069E-02,1.1484E-03,1.7835E-03,1.1540E-02,1.4956E-04,2.3253E-04,2.8600E-08,3.7320E-08,8.6346E-04,,,,,,,,,,,,,,,,,,
300,3.1147E-01,2.8228E-01,2.5402E-02,3.5237E-03,2.5657E-04,2.8228E-01,2.4675E-02,2.8858E-04,4.3883E-04,3.4288E-03,3.7614E-05,5.7269E-05,5.6259E-09,7.4685E-09,2.5657E-04,,,,,,,,,,,,,,,,,,
400,1.3667E-01,1.2386E-01,1.1148E-02,1.5470E-03,1.1296E-04,1.2386E-01,1.0857E-02,1.1496E-04,1.7530E-04,1.5091E-03,1.4991E-05,2.2874E-05,1.9001E-09,2.6753E-09,1.1296E-04,,,,,,,,,,,,,,,,,,
500,7.4729E-02,6.7726E-02,6.0946E-03,8.4596E-04,6.1890E-05,6.7726E-02,5.9452E-03,5.8666E-05,9.0789E-05,8.2645E-04,7.6490E-06,1.1856E-05,8.7097E-10,1.2714E-09,6.1890E-05,,,,,,,,,,,,,,,,,,
600,4.6927E-02,4.2531E-02,3.8262E-03,5.3114E-04,3.8924E-05,4.2531E-02,3.7362E-03,3.4941E-05,5.5019E-05,5.1940E-04,4.5519E-06,7.1919E-06,4.7213E-10,7.4429E-10,3.8924E-05,,,,,,,,,,,,,,,,,,
800,2.3851E-02,2.1618E-02,1.9432E-03,2.6980E-04,1.9839E-05,2.1618E-02,1.9000E-03,1.6297E-05,2.6899E-05,2.6416E-04,2.1213E-06,3.5209E-06,1.9822E-10,3.3809E-10,1.9839E-05,,,,,,,,,,,,,,,,,,
1000,1.4832E-02,1.3445E-02,1.2075E-03,1.6765E-04,1.2381E-05,1.3445E-02,1.1816E-03,9.4599E-06,1.6412E-05,1.6428E-04,1.2317E-06,2.1454E-06,1.0743E-10,1.9814E-10,1.2381E-05,,,,,,,,,,,,,,,,,,
1500,6.9363E-03,6.2885E-03,5.6369E-04,7.8290E-05,5.8685E-06,6.2885E-03,5.5225E-04,3.9570E-06,7.4808E-06,7.6802E-05,5.1268E-07,9.7569E-07,4.3195E-11,9.3470E-11,5.8685E-06,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,0.8,1.2,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
