PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,,,,,,,,,,,
1,1.6064E+06,0.0000E+00,0.0000E+00,1.4092E+06,1.9725E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.6501E+04,1.0587E+05,2.3111E+05,4.0498E+05,5.9069E+05,2.1220E+04,2.4039E+04,4.8999E+04,4.0360E+04,5.8500E+04,2.5178E+03,5.5284E+02,1.0592E+03,,,,,,,,,,,
1.5,6.4827E+05,0.0000E+00,0.0000E+00,5.6404E+05,8.4233E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.3891E+04,6.1593E+04,1.2556E+05,1.3629E+05,1.9671E+05,1.0662E+04,1.2032E+04,2.3663E+04,1.4725E+04,2.1139E+04,1.2361E+03,2.7039E+02,5.0462E+02,,,,,,,,,,,
2,3.2683E+05,0.0000E+00,0.0000E+00,2.8252E+05,4.4310E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.7983E+04,3.7665E+04,7.4186E+04,5.8616E+04,8.4067E+04,6.4046E+03,6.9997E+03,1.3453E+04,6.7101E+03,9.5679E+03,7.3387E+02,1.5562E+02,2.8543E+02,,,,,,,,,,,
3,1.1986E+05,0.0000E+00,0.0000E+00,1.0268E+05,1.7176E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3982E+04,1.6908E+04,3.1990E+04,1.6445E+04,2.3359E+04,3.0442E+03,3.0480E+03,5.6803E+03,2.0188E+03,2.8503E+03,3.4455E+02,6.9144E+01,1.2032E+02,,,,,,,,,,,
3.9227,6.0549E+04,0.0000E+00,0.0000E+00,5.1593E+04,8.9558E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.5782E+03,9.3886E+03,1.7354E+04,6.7494E+03,9.5224E+03,1.8287E+03,1.6806E+03,3.0705E+03,8.6059E+02,1.2065E+03,2.0580E+02,3.8085E+01,6.4990E+01,,,,,,,,,,,
3.9541,1.8319E+05,0.0000E+00,1.2387E+05,5.0538E+04,8.7816E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.2387E+05,8.4518E+03,9.2198E+03,1.7030E+04,6.5694E+03,9.2665E+03,1.8007E+03,1.6502E+03,3.0132E+03,8.3847E+02,1.1753E+03,2.0262E+02,3.7394E+01,6.3775E+01,,,,,,,,,,,
4,1.8408E+05,0.0000E+00,1.2650E+05,4.9048E+04,8.5352E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.2650E+05,8.2717E+03,8.9803E+03,1.6571E+04,6.3170E+03,8.9079E+03,1.7610E+03,1.6070E+03,2.9319E+03,8.0740E+02,1.1314E+03,1.9811E+02,3.6416E+01,6.2053E+01,,,,,,,,,,,
4.1569,1.6580E+05,0.0000E+00,1.1366E+05,4.4382E+04,7.7612E+03,0.0000E+00,0.0000E+00,0.0000E+00,1.1366E+05,7.6954E+03,8.2206E+03,1.5119E+04,5.5413E+03,7.8058E+03,1.6345E+03,1.4704E+03,2.6751E+03,7.1157E+02,9.9601E+02,1.8375E+02,3.3318E+01,5.6615E+01,,,,,,,,,,,
4.1901,2.2062E+05,0.0000E+00,1.6954E+05,4.3471E+04,7.6094E+03,0.0000E+00,0.0000E+00,5.8186E+04,1.1135E+05,7.5805E+03,8.0703E+03,1.4833E+04,5.3922E+03,7.5942E+03,1.6093E+03,1.4434E+03,2.6245E+03,6.9309E+02,9.6993E+02,1.8090E+02,3.2707E+01,5.5544E+01,,,,,,,,,,,
4.4362,1.9348E+05,0.0000E+00,1.4942E+05,3.7461E+04,6.6035E+03,0.0000E+00,0.0000E+00,5.2659E+04,9.6761E+04,6.8036E+03,7.0649E+03,1.2927E+04,4.4322E+03,6.2326E+03,1.4397E+03,1.2632E+03,2.2871E+03,5.7353E+02,8.0133E+02,1.6168E+02,2.8620E+01,4.8402E+01,,,,,,,,,,,
4.4717,2.1838E+05,0.0000E+00,1.7522E+05,3.6689E+04,6.4736E+03,0.0000E+00,2.8696E+04,5.1668E+04,9.4853E+04,6.7012E+03,6.9339E+03,1.2680E+04,4.3119E+03,6.0621E+03,1.4174E+03,1.2397E+03,2.2432E+03,5.5847E+02,7.8011E+02,1.5915E+02,2.8088E+01,4.7474E+01,,,,,,,,,,,
5,1.6606E+05,0.0000E+00,1.3378E+05,2.7378E+04,4.8937E+03,0.0000E+00,2.3969E+04,3.9290E+04,7.0525E+04,5.4098E+03,5.3158E+03,9.6307E+03,2.9240E+03,4.0981E+03,1.1371E+03,9.4987E+02,1.7047E+03,3.8330E+02,5.3370E+02,1.2746E+02,2.1522E+01,3.6077E+01,,,,,,,,,,,
6,1.0354E+05,0.0000E+00,8.3547E+04,1.6907E+04,3.0820E+03,0.0000E+00,1.7476E+04,2.3894E+04,4.2177E+04,3.7839E+03,3.3951E+03,6.0622E+03,1.5312E+03,2.1348E+03,7.8847E+02,6.0694E+02,1.0746E+03,2.0434E+02,2.8297E+02,8.8190E+01,1.3754E+01,2.2746E+01,,,,,,,,,,,
8,4.8635E+04,0.0000E+00,3.9340E+04,7.8267E+03,1.4682E+03,0.0000E+00,1.0239E+04,1.0681E+04,1.8420E+04,2.1130E+03,1.6176E+03,2.8227E+03,5.3469E+02,7.3871E+02,4.3559E+02,2.9007E+02,5.0246E+02,7.3195E+01,1.0042E+02,4.9263E+01,6.5772E+00,1.0641E+01,,,,,,,,,,,
10,2.6751E+04,0.0000E+00,2.1660E+04,4.2728E+03,8.1799E+02,0.0000E+00,6.5991E+03,5.5944E+03,9.4666E+03,1.3231E+03,8.8570E+02,1.5177E+03,2.3044E+02,3.1588E+02,2.7123E+02,1.5948E+02,2.7146E+02,3.2103E+01,4.3693E+01,3.0649E+01,3.6184E+00,5.7522E+00,,,,,,,,,,,
15,8.8349E+03,0.0000E+00,7.1575E+03,1.4004E+03,2.7697E+02,0.0000E+00,2.8051E+03,1.6523E+03,2.7001E+03,5.4446E+02,2.8030E+02,4.6410E+02,4.7469E+01,6.4022E+01,1.1097E+02,5.0914E+01,8.3787E+01,6.7732E+00,9.0742E+00,1.2527E+01,1.1565E+00,1.7773E+00,,,,,,,,,,,
20,3.9711E+03,0.0000E+00,3.2166E+03,6.2788E+02,1.2663E+02,0.0000E+00,1.4683E+03,6.7462E+02,1.0737E+03,2.8163E+02,1.1916E+02,1.9223E+02,1.4960E+01,1.9908E+01,5.7263E+01,2.1767E+01,3.4907E+01,2.1598E+00,2.8406E+00,6.4614E+00,4.9479E-01,7.4097E-01,,,,,,,,,,,
29.156,1.3740E+03,0.0000E+00,1.1124E+03,2.1688E+02,4.4731E+01,0.0000E+00,6.0105E+02,2.0173E+02,3.0965E+02,1.1444E+02,3.7233E+01,5.7878E+01,3.1815E+00,4.1478E+00,2.3235E+01,6.8475E+00,1.0582E+01,4.6567E-01,5.9998E-01,2.6205E+00,1.5576E-01,2.2480E-01,,,,,,,,,,,
29.39,8.3186E+03,6.9752E+03,1.0876E+03,2.1202E+02,4.3749E+01,6.9752E+03,5.8950E+02,1.9658E+02,3.0150E+02,1.1222E+02,3.6310E+01,5.6398E+01,3.0779E+00,4.0108E+00,2.2785E+01,6.6788E+00,1.0313E+01,4.5062E-01,5.8031E-01,2.5698E+00,1.5192E-01,2.1908E-01,,,,,,,,,,,
30,7.9675E+03,6.7001E+03,1.0260E+03,2.0001E+02,4.1316E+01,6.7001E+03,5.6071E+02,1.8388E+02,2.8144E+02,1.0672E+02,3.4036E+01,5.2753E+01,2.8261E+00,3.6783E+00,2.1666E+01,6.2624E+00,9.6499E+00,4.1402E-01,5.3253E-01,2.4436E+00,1.4246E-01,2.0500E-01,,,,,,,,,,,
40,3.7186E+03,3.1603E+03,4.5179E+02,8.8040E+01,1.8452E+01,3.1603E+03,2.7393E+02,7.1601E+01,1.0625E+02,5.2071E+01,1.3602E+01,2.0431E+01,8.4965E-01,1.0858E+00,1.0571E+01,2.5140E+00,3.7539E+00,1.2547E-01,1.5844E-01,1.1918E+00,5.7202E-02,7.9784E-02,,,,,,,,,,,
50,2.0250E+03,1.7308E+03,2.3798E+02,4.6372E+01,9.8119E+00,1.7308E+03,1.5447E+02,3.4139E+01,4.9367E+01,2.9377E+01,6.5949E+00,9.6490E+00,3.3265E-01,4.1857E-01,5.9657E+00,1.2237E+00,1.7738E+00,4.9363E-02,6.1377E-02,6.7238E-01,2.7821E-02,3.7801E-02,,,,,,,,,,,
60,1.2248E+03,1.0510E+03,1.4056E+02,2.7390E+01,5.8376E+00,1.0510E+03,9.5752E+01,1.8562E+01,2.6242E+01,1.8227E+01,3.6281E+00,5.1885E+00,1.5451E-01,1.9185E-01,3.7031E+00,6.7455E-01,9.5575E-01,2.3009E-02,2.8225E-02,4.1724E-01,1.5340E-02,2.0374E-02,,,,,,,,,,,
80,5.4600E+02,4.7060E+02,6.0956E+01,1.1883E+01,2.5566E+00,4.7060E+02,4.4274E+01,7.0657E+00,9.6164E+00,8.4468E+00,1.4029E+00,1.9305E+00,4.6221E-02,5.6157E-02,1.7163E+00,2.6157E-01,3.5658E-01,6.9127E-03,8.2982E-03,1.9344E-01,5.9497E-03,7.6046E-03,,,,,,,,,,,
100,2.8906E+02,2.4972E+02,3.1795E+01,6.2007E+00,1.3426E+00,2.4972E+02,2.4050E+01,3.3397E+00,4.4046E+00,4.5980E+00,6.6976E-01,8.9289E-01,1.8258E-02,2.1814E-02,9.3454E-01,1.2512E-01,1.6522E-01,2.7388E-03,3.2310E-03,1.0534E-01,2.8462E-03,3.5244E-03,,,,,,,,,,,
150,8.9967E+01,7.7920E+01,9.7322E+00,1.8998E+00,4.1512E-01,7.7920E+01,7.7918E+00,8.6535E-01,1.0750E+00,1.4954E+00,1.7598E-01,2.2095E-01,3.4743E-03,4.0422E-03,3.0413E-01,3.2968E-02,4.0990E-02,5.2335E-04,6.0125E-04,3.4283E-02,7.5011E-04,8.7473E-04,,,,,,,,,,,
200,3.9325E+01,3.4092E+01,4.2260E+00,8.2552E-01,1.8127E-01,3.4092E+01,3.4843E+00,3.3844E-01,4.0327E-01,6.7033E-01,6.9323E-02,8.3484E-02,1.1091E-03,1.2765E-03,1.3639E-01,1.3009E-02,1.5507E-02,1.6750E-04,1.9017E-04,1.5376E-02,2.9595E-04,3.3106E-04,,,,,,,,,,,
300,1.2523E+01,1.0865E+01,1.3382E+00,2.6164E-01,5.7742E-02,1.0865E+01,1.1366E+00,9.4490E-02,1.0711E-01,2.1931E-01,1.9521E-02,2.2303E-02,2.3884E-04,2.7489E-04,4.4641E-02,3.6651E-03,4.1540E-03,3.6117E-05,4.1187E-05,5.0332E-03,8.3358E-05,8.8746E-05,,,,,,,,,,,
400,5.7458E+00,4.9876E+00,6.1204E-01,1.1966E-01,2.6486E-02,4.9876E+00,5.2763E-01,4.0043E-02,4.4367E-02,1.0189E-01,8.3069E-03,9.2682E-03,8.5609E-05,1.0086E-04,2.0757E-02,1.5605E-03,1.7275E-03,1.2948E-05,1.5115E-05,2.3406E-03,3.5485E-05,3.6945E-05,,,,,,,,,,,
500,3.2310E+00,2.8058E+00,3.4318E-01,6.7096E-02,1.4874E-02,2.8058E+00,2.9850E-01,2.1277E-02,2.3397E-02,5.7687E-02,4.4254E-03,4.8942E-03,4.0463E-05,4.8838E-05,1.1753E-02,8.3135E-04,9.1278E-04,6.0867E-06,7.3788E-06,1.3255E-03,1.8904E-05,1.9549E-05,,,,,,,,,,,
600,2.0651E+00,1.7941E+00,2.1876E-01,4.2767E-02,9.4907E-03,1.7941E+00,1.9142E-01,1.3016E-02,1.4325E-02,3.7005E-02,2.7114E-03,2.9991E-03,2.2606E-05,2.8257E-05,7.5398E-03,5.0945E-04,5.5965E-04,3.4083E-06,4.2796E-06,8.5054E-04,1.1592E-05,1.2001E-05,,,,,,,,,,,
800,1.0676E+00,9.2822E-01,1.1253E-01,2.1992E-02,4.8864E-03,9.2822E-01,9.9215E-02,6.2930E-03,7.0185E-03,1.9185E-02,1.3130E-03,1.4719E-03,9.4952E-06,1.3088E-05,3.9089E-03,2.4690E-04,2.7439E-04,1.4377E-06,1.9525E-06,4.4121E-04,5.6213E-06,5.9089E-06,,,,,,,,,,,
1000,6.6643E-01,5.7979E-01,6.9941E-02,1.3665E-02,3.0387E-03,5.7979E-01,6.1966E-02,3.7424E-03,4.2333E-03,1.1980E-02,7.8278E-04,8.8958E-04,5.2896E-06,7.4034E-06,2.4409E-03,1.4703E-04,1.6614E-04,7.7903E-07,1.1301E-06,2.7577E-04,3.3528E-06,3.5956E-06,,,,,,,,,,,
1500,3.0806E-01,2.6830E-01,3.2098E-02,6.2664E-03,1.3952E-03,2.6830E-01,2.8606E-02,1.6082E-03,1.8832E-03,5.5297E-03,3.3572E-04,3.9588E-04,1.9363E-06,3.1645E-06,1.1266E-03,6.3113E-05,7.3827E-05,2.8932E-07,4.7100E-07,1.2776E-04,1.4524E-06,1.6297E-06,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,2,0.67,1.33,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
