PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,
1,6.7017E+05,0.0000E+00,0.0000E+00,0.0000E+00,6.7017E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.8096E+04,4.2401E+04,1.0176E+05,1.3511E+05,1.9808E+05,5.5330E+04,7.0560E+04,7.4099E+03,6.5558E+03,1.4257E+04,6.1524E+02,,,,,,,,
1.298,4.0595E+05,0.0000E+00,0.0000E+00,0.0000E+00,4.0595E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.6357E+04,3.0842E+04,6.9543E+04,8.4223E+04,1.2186E+05,2.3736E+04,3.0156E+04,4.8899E+03,4.5203E+03,9.4248E+03,3.9789E+02,,,,,,,,
1.3084,7.9041E+05,0.0000E+00,0.0000E+00,3.9086E+05,3.9955E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.9086E+05,2.6048E+04,3.0517E+04,6.8694E+04,8.2915E+04,1.1992E+05,2.3112E+04,2.9359E+04,4.8269E+03,4.4669E+03,9.3020E+03,3.9253E+02,,,,,,,,
1.3352,1.2930E+06,0.0000E+00,0.0000E+00,9.0937E+05,3.8367E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,9.0937E+05,2.5274E+04,2.9699E+04,6.6568E+04,7.9653E+04,1.1509E+05,2.1591E+04,2.7419E+04,4.6700E+03,4.3332E+03,8.9954E+03,3.7922E+02,,,,,,,,
1.3459,1.5447E+06,0.0000E+00,0.0000E+00,1.1671E+06,3.7758E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.4345E+05,9.2363E+05,2.4975E+04,2.9380E+04,6.5747E+04,7.8397E+04,1.1323E+05,2.1019E+04,2.6690E+04,4.6096E+03,4.2815E+03,8.8772E+03,3.7411E+02,,,,,,,,
1.5,1.4951E+06,0.0000E+00,0.0000E+00,1.1921E+06,3.0293E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.8829E+05,7.0383E+05,2.1197E+04,2.5270E+04,5.5313E+04,6.2768E+04,9.0217E+04,1.4539E+04,1.8431E+04,3.8567E+03,3.6265E+03,7.3969E+03,3.1087E+02,,,,,,,,
1.6604,1.1644E+06,0.0000E+00,0.0000E+00,9.1923E+05,2.4522E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.7710E+05,5.4213E+05,1.8106E+04,2.1785E+04,4.6762E+04,5.0434E+04,7.2169E+04,1.0219E+04,1.2935E+04,3.2549E+03,3.0879E+03,6.2050E+03,2.6060E+02,,,,,,,,
1.6737,1.3220E+06,0.0000E+00,0.0000E+00,1.0809E+06,2.4114E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8016E+05,3.6957E+05,5.3114E+05,1.7879E+04,2.1525E+04,4.6138E+04,4.9556E+04,7.0887E+04,9.9373E+03,1.2577E+04,3.2116E+03,3.0486E+03,6.1188E+03,2.5699E+02,,,,,,,,
1.8295,1.0730E+06,0.0000E+00,0.0000E+00,8.7347E+05,1.9956E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5716E+05,2.9452E+05,4.2179E+05,1.5515E+04,1.8786E+04,3.9616E+04,4.0570E+04,5.7811E+04,7.2534E+03,9.1681E+03,2.7623E+03,2.6365E+03,5.2246E+03,2.1981E+02,,,,,,,,
1.8441,1.1190E+06,0.0000E+00,0.0000E+00,9.2278E+05,1.9618E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.5649E+04,1.5551E+05,2.8853E+05,4.1309E+05,1.5318E+04,1.8554E+04,3.9071E+04,3.9836E+04,5.6746E+04,7.0500E+03,8.9100E+03,2.7250E+03,2.6019E+03,5.1503E+03,2.1674E+02,,,,,,,,
2,9.3295E+05,0.0000E+00,0.0000E+00,7.6835E+05,1.6460E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.9382E+04,1.3766E+05,2.3532E+05,3.3599E+05,1.3429E+04,1.6312E+04,3.3872E+04,3.2980E+04,4.6817E+04,5.2670E+03,6.6482E+03,2.3711E+03,2.2711E+03,4.4447E+03,1.8776E+02,,,,,,,,
2.0169,9.1511E+05,0.0000E+00,0.0000E+00,7.5350E+05,1.6161E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.8868E+04,1.3581E+05,2.3017E+05,3.2865E+05,1.3245E+04,1.6092E+04,3.3368E+04,3.2330E+04,4.5878E+04,5.1089E+03,6.4478E+03,2.3370E+03,2.2389E+03,4.3766E+03,1.8497E+02,,,,,,,,
2.033,9.3831E+05,0.0000E+00,0.0000E+00,7.7949E+05,1.5881E+05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.9791E+04,5.8358E+04,1.3407E+05,2.2542E+05,3.2185E+05,1.3072E+04,1.5885E+04,3.2895E+04,3.1724E+04,4.5003E+04,4.9632E+03,6.2632E+03,2.3050E+03,2.2087E+03,4.3128E+03,1.8235E+02,,,,,,,,
3,3.7678E+05,0.0000E+00,0.0000E+00,3.1072E+05,6.6056E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3296E+04,3.3658E+04,6.9651E+04,7.6661E+04,1.0746E+05,6.7410E+03,8.0980E+03,1.5769E+04,1.1875E+04,1.6577E+04,1.1567E+03,1.4509E+03,1.1583E+03,1.0996E+03,2.0383E+03,9.2695E+01,,,,,,,,
4,1.8563E+05,0.0000E+00,0.0000E+00,1.5210E+05,3.3528E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4812E+04,2.0473E+04,3.9765E+04,3.2295E+04,4.4761E+04,4.0260E+03,4.6756E+03,8.7363E+03,5.3633E+03,7.3977E+03,3.7324E+02,4.6604E+02,6.8313E+02,6.2859E+02,1.1231E+03,5.4665E+01,,,,,,,,
5,1.0586E+05,0.0000E+00,0.0000E+00,8.6329E+04,1.9532E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0156E+04,1.3301E+04,2.4821E+04,1.6033E+04,2.2018E+04,2.6647E+03,2.9708E+03,5.3831E+03,2.7920E+03,3.8142E+03,1.4962E+02,1.8454E+02,4.4882E+02,3.9735E+02,6.9043E+02,3.5922E+01,,,,,,,,
6,6.6437E+04,0.0000E+00,0.0000E+00,5.3975E+04,1.2463E+04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.3537E+03,9.1214E+03,1.6522E+04,8.8797E+03,1.2098E+04,1.8874E+03,2.0161E+03,3.5645E+03,1.6015E+03,2.1701E+03,6.9946E+01,8.5956E+01,3.1635E+02,2.6884E+02,4.5666E+02,2.5325E+01,,,,,,,,
7.773,3.3961E+04,0.0000E+00,0.0000E+00,2.7450E+04,6.5103E+03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.5542E+03,5.1633E+03,8.9773E+03,3.7313E+03,5.0242E+03,1.1434E+03,1.1325E+03,1.9343E+03,7.0336E+02,9.4159E+02,2.3038E+01,2.8150E+01,1.9056E+02,1.5056E+02,2.4767E+02,1.5261E+01,,,,,,,,
7.8352,9.0564E+04,0.0000E+00,5.7304E+04,2.6880E+04,6.3801E+03,0.0000E+00,0.0000E+00,0.0000E+00,5.7304E+04,4.4858E+03,5.0707E+03,8.8049E+03,3.6312E+03,4.8874E+03,1.1256E+03,1.1120E+03,1.8973E+03,6.8533E+02,9.1711E+02,2.2251E+01,2.7183E+01,1.8757E+02,1.4783E+02,2.4293E+02,1.5022E+01,,,,,,,,
8,8.6961E+04,0.0000E+00,5.5463E+04,2.5446E+04,6.0521E+03,0.0000E+00,0.0000E+00,0.0000E+00,5.5463E+04,4.3115E+03,4.8357E+03,8.3695E+03,3.3819E+03,4.5471E+03,1.0805E+03,1.0601E+03,1.8038E+03,6.4035E+02,8.5604E+02,2.0317E+01,2.4808E+01,1.7998E+02,1.4092E+02,2.3096E+02,1.4415E+01,,,,,,,,
8.5825,7.1499E+04,0.0000E+00,4.5301E+04,2.1137E+04,5.0610E+03,0.0000E+00,0.0000E+00,0.0000E+00,4.5301E+04,3.7698E+03,4.1106E+03,7.0435E+03,2.6552E+03,3.5581E+03,9.4033E+02,9.0074E+02,1.5184E+03,5.0824E+02,6.7707E+02,1.4922E+01,1.8190E+01,1.5644E+02,1.1967E+02,1.9443E+02,1.2531E+01,,,,,,,,
8.6512,9.6112E+04,0.0000E+00,7.0457E+04,2.0696E+04,4.9590E+03,0.0000E+00,0.0000E+00,2.6101E+04,4.4355E+04,3.7126E+03,4.0348E+03,6.9059E+03,2.5829E+03,3.4600E+03,9.2556E+02,8.8412E+02,1.4888E+03,4.9500E+02,6.5917E+02,1.4407E+01,1.7558E+01,1.5396E+02,1.1746E+02,1.9064E+02,1.2332E+01,,,,,,,,
9.0053,8.7031E+04,0.0000E+00,6.3944E+04,1.8612E+04,4.4757E+03,0.0000E+00,0.0000E+00,2.3964E+04,3.9980E+04,3.4368E+03,3.6729E+03,6.2496E+03,2.2476E+03,3.0050E+03,8.5451E+02,8.0469E+02,1.3478E+03,4.3323E+02,5.7575E+02,1.2065E+01,1.4689E+01,1.4205E+02,1.0688E+02,1.7260E+02,1.1379E+01,,,,,,,,
9.0774,9.8510E+04,0.0000E+00,7.5902E+04,1.8223E+04,4.3852E+03,0.0000E+00,1.3324E+04,2.3414E+04,3.9164E+04,3.3841E+03,3.6046E+03,6.1260E+03,2.1862E+03,2.9217E+03,8.4101E+02,7.8970E+02,1.3213E+03,4.2185E+02,5.6041E+02,1.1646E+01,1.4176E+01,1.3979E+02,1.0488E+02,1.6921E+02,1.1198E+01,,,,,,,,
10,7.7287E+04,0.0000E+00,5.9779E+04,1.4089E+04,3.4195E+03,0.0000E+00,1.1248E+04,1.8296E+04,3.0234E+04,2.8006E+03,2.8630E+03,4.7956E+03,1.5577E+03,2.0716E+03,6.9246E+02,6.2709E+02,1.0358E+03,3.0463E+02,4.0267E+02,7.5654E+00,9.1858E+00,1.1493E+02,8.3255E+01,1.3269E+02,9.2082E+00,,,,,,,,
15,2.6758E+04,0.0000E+00,2.0832E+04,4.7401E+03,1.1861E+03,0.0000E+00,5.4023E+03,6.0746E+03,9.3552E+03,1.2326E+03,1.0371E+03,1.6388E+03,3.6140E+02,4.7011E+02,2.9955E+02,2.2810E+02,3.5664E+02,7.4026E+01,9.5666E+01,1.1974E+00,1.4371E+00,4.9496E+01,3.0270E+01,4.5724E+01,3.9676E+00,,,,,,,,
20,1.2374E+04,0.0000E+00,9.6564E+03,2.1654E+03,5.5177E+02,0.0000E+00,3.0357E+03,2.6789E+03,3.9418E+03,6.6955E+02,4.8287E+02,7.3179E+02,1.2342E+02,1.5773E+02,1.6140E+02,1.0676E+02,1.6033E+02,2.5958E+01,3.2948E+01,3.1435E-01,3.7387E-01,2.6618E+01,1.4353E+01,2.0578E+01,2.1339E+00,,,,,,,,
30,4.0877E+03,0.0000E+00,3.1953E+03,7.0798E+02,1.8437E+02,0.0000E+00,1.2722E+03,8.0682E+02,1.1164E+03,2.7224E+02,1.5565E+02,2.2194E+02,2.5938E+01,3.2219E+01,6.5191E+01,3.4734E+01,4.9123E+01,5.6226E+00,6.9364E+00,4.5674E-02,5.3501E-02,1.0805E+01,4.6772E+00,6.3155E+00,8.6055E-01,,,,,,,,
40,1.8412E+03,0.0000E+00,1.4400E+03,3.1753E+02,8.3729E+01,0.0000E+00,6.6003E+02,3.3592E+02,4.4401E+02,1.3974E+02,6.7424E+01,9.1846E+01,8.3654E+00,1.0157E+01,3.3381E+01,1.5144E+01,2.0469E+01,1.8428E+00,2.2226E+00,1.1356E-02,1.3132E-02,5.5297E+00,2.0415E+00,2.6345E+00,4.4035E-01,,,,,,,,
50,9.8682E+02,0.0000E+00,7.7193E+02,1.6976E+02,4.5137E+01,0.0000E+00,3.8918E+02,1.6827E+02,2.1447E+02,8.1986E+01,3.4691E+01,4.5534E+01,3.4445E+00,4.1026E+00,1.9564E+01,7.8278E+00,1.0196E+01,7.6642E-01,9.0705E-01,3.8444E-03,4.3977E-03,3.2399E+00,1.0561E+00,1.3133E+00,2.5800E-01,,,,,,,,
53.818,8.0266E+02,0.0000E+00,6.2789E+02,1.3799E+02,3.6781E+01,0.0000E+00,3.2578E+02,1.3376E+02,1.6835E+02,6.8562E+01,2.7794E+01,3.6024E+01,2.5675E+00,3.0379E+00,1.6357E+01,6.2805E+00,8.0780E+00,5.7294E-01,6.7373E-01,2.6899E-03,3.0654E-03,2.7086E+00,8.4751E-01,1.0408E+00,2.1569E-01,,,,,,,,
54.249,4.2830E+03,3.4982E+03,6.1397E+02,1.3492E+02,3.5973E+01,3.4982E+03,3.1952E+02,1.3047E+02,1.6398E+02,6.7241E+01,2.7132E+01,3.5118E+01,2.4869E+00,2.9405E+00,1.6042E+01,6.1319E+00,7.8760E+00,5.5512E-01,6.5234E-01,2.5879E-03,2.9478E-03,2.6563E+00,8.2749E-01,1.0148E+00,2.1153E-01,,,,,,,,
60,3.2744E+03,2.6833E+03,4.6243E+02,1.0153E+02,2.7158E+01,2.6833E+03,2.4976E+02,9.5139E+01,1.1753E+02,5.2505E+01,1.9990E+01,2.5424E+01,1.6619E+00,1.9469E+00,1.2523E+01,4.5263E+00,5.7125E+00,3.7233E-01,4.3364E-01,1.5876E-03,1.7989E-03,2.0735E+00,6.1101E-01,7.3628E-01,1.6512E-01,,,,,,,,
80,1.5347E+03,1.2724E+03,2.0515E+02,4.4958E+01,1.2125E+01,1.2724E+03,1.2163E+02,3.8425E+01,4.5092E+01,2.5551E+01,8.2832E+00,9.9998E+00,5.2544E-01,5.9909E-01,6.0935E+00,1.8846E+00,2.2578E+00,1.1885E-01,1.3404E-01,3.9617E-04,4.4182E-04,1.0087E+00,2.5462E-01,2.9125E-01,8.0321E-02,,,,,,,,
100,8.3800E+02,6.9873E+02,1.0895E+02,2.3853E+01,6.4682E+00,6.9873E+02,6.8625E+01,1.8971E+01,2.1355E+01,1.4428E+01,4.1576E+00,4.8118E+00,2.1572E-01,2.4080E-01,3.4417E+00,9.4904E-01,1.0900E+00,4.9096E-02,5.4196E-02,1.3601E-04,1.4983E-04,5.6962E-01,1.2829E-01,1.4068E-01,4.5360E-02,,,,,,,,
150,2.7424E+02,2.3013E+02,3.4497E+01,7.5453E+00,2.0624E+00,2.3013E+02,2.3700E+01,5.2895E+00,5.5074E+00,4.9980E+00,1.1870E+00,1.2693E+00,4.3773E-02,4.7183E-02,1.1935E+00,2.7246E-01,2.8833E-01,1.0050E-02,1.0709E-02,2.0384E-05,2.1992E-05,1.9746E-01,3.6831E-02,3.7318E-02,1.5725E-02,,,,,,,,
200,1.2373E+02,1.0410E+02,1.5350E+01,3.3564E+00,9.2121E-01,1.0410E+02,1.1046E+01,2.1676E+00,2.1366E+00,2.3355E+00,4.9258E-01,4.9836E-01,1.4542E-02,1.5399E-02,5.5776E-01,1.1338E-01,1.1349E-01,3.3539E-03,3.5106E-03,5.5740E-06,5.9676E-06,9.2327E-02,1.5332E-02,1.4695E-02,7.3538E-03,,,,,,,,
300,4.1025E+01,3.4598E+01,5.0256E+00,1.0986E+00,3.0293E-01,3.4598E+01,3.7957E+00,6.4078E-01,5.8919E-01,8.0529E-01,1.4751E-01,1.3911E-01,3.2693E-03,3.4441E-03,1.9245E-01,3.4054E-02,3.1757E-02,7.5793E-04,7.8805E-04,9.7873E-07,1.0579E-06,3.1861E-02,4.6069E-03,4.1147E-03,2.5387E-03,,,,,,,,
400,1.9306E+01,1.6303E+01,2.3476E+00,5.1303E-01,1.4180E-01,1.6303E+01,1.8180E+00,2.8099E-01,2.4860E-01,3.8640E-01,6.5099E-02,5.9043E-02,1.1995E-03,1.2855E-03,9.2376E-02,1.5053E-02,1.3493E-02,2.7878E-04,2.9458E-04,3.0685E-07,3.4299E-07,1.5294E-02,2.0367E-03,1.7489E-03,1.2194E-03,,,,,,,,
500,1.1040E+01,9.3333E+00,1.3347E+00,2.9154E-01,8.0692E-02,9.3333E+00,1.0495E+00,1.5285E-01,1.3235E-01,2.2326E-01,3.5534E-02,3.1540E-02,5.7783E-04,6.2866E-04,5.3383E-02,8.2255E-03,7.2120E-03,1.3405E-04,1.4556E-04,1.3365E-07,1.5423E-07,8.8387E-03,1.1131E-03,9.3485E-04,7.0528E-04,,,,,,,,
600,7.1359E+00,6.0385E+00,8.5815E-01,1.8737E-01,5.1904E-02,6.0385E+00,6.8184E-01,9.5002E-02,8.1306E-02,1.4513E-01,2.2168E-02,1.9379E-02,3.2652E-04,3.6382E-04,3.4700E-02,5.1287E-03,4.4406E-03,7.5773E-05,8.4516E-05,6.9221E-08,8.3584E-08,5.7456E-03,6.9390E-04,5.7568E-04,4.5894E-04,,,,,,,,
800,3.7334E+00,3.1644E+00,4.4503E-01,9.7041E-02,2.6918E-02,3.1644E+00,3.5829E-01,4.6929E-02,3.9805E-02,7.6251E-02,1.0986E-02,9.4971E-03,1.3954E-04,1.6638E-04,1.8238E-02,2.5421E-03,2.1779E-03,3.2486E-05,3.8460E-05,2.6195E-08,3.4603E-08,3.0200E-03,3.4394E-04,2.8259E-04,2.4196E-04,,,,,,,,
1000,2.3399E+00,1.9857E+00,2.7704E-01,6.0356E-02,1.6754E-02,1.9857E+00,2.2478E-01,2.8296E-02,2.3968E-02,4.7827E-02,6.6323E-03,5.7238E-03,7.6619E-05,9.6698E-05,1.1440E-02,1.5357E-03,1.3131E-03,1.7919E-05,2.2205E-05,1.3411E-08,1.8960E-08,1.8943E-03,2.0777E-04,1.7039E-04,1.5240E-04,,,,,,,,
1500,1.0777E+00,9.1631E-01,1.2625E-01,2.7465E-02,7.6287E-03,9.1631E-01,1.0341E-01,1.2349E-02,1.0492E-02,2.1990E-02,2.9034E-03,2.5035E-03,2.9186E-05,3.9509E-05,5.2584E-03,6.7171E-04,5.7469E-04,6.7766E-06,9.1724E-06,4.5548E-09,7.4401E-09,8.7101E-04,9.0891E-05,7.4711E-05,7.1311E-05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,4.29,5.71,2,2,4,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
